image_id,s,r,o,a_inv_orig
336bacff8461dbaa.jpg,woman,wearing,red swimsuit,2.484375
9ae2d9c5782e3d8c.jpg,man,wearing,black coat,1.703125
ce7ee590cc097ae0.jpg,blonde barbie doll,wearing,pink lipstick,1.65625
3d27c190d43ac211.jpg,man,wearing,swim cap,0.796875
55f1af9a02042d09.jpg,man,wearing,roller skates,1.046875
5635c9b530f89131.jpg,man,wearing,black suit,2.9375
ac36d564ad0b93e1.jpg,woman,wearing,blue outfit,3.625
c7133cc36acc887d.jpg,girl,wearing,heart-shaped gem,3.328125
53859c6247a3db01.jpg,man,wearing,glasses,3.59375
c22e29581c0e797e.jpg,man,wearing,blue helmet,3.359375
409f7b5ca2a458c6.jpg,woman,wearing,swim cap,1.140625
24073df6a9c58c6b.jpg,boy,wearing,swim cap,1.71875
ecb9d4f10c69569d.jpg,man,wearing,jeans,-0.5625
9a716890c5e81744.jpg,woman,wearing,black dress,3.28125
a6fba3d8e01d2219.jpg,woman,wearing,glasses,4.359375
1f0c0b509013b719.jpg,woman,wearing,revealing top,4.03125
295a7f2d76bcccb2.jpg,man,wearing,cowboy hat,4.96875
1a17241c6f0e6642.jpg,woman,wearing,roller skates,4.25
582be29db5b1a39d.jpg,woman,wearing,fedora,2.6875
a0da01a93a6f51bf.jpg,umpire,wearing,baseball glove,0.9375
bb38e87f8edff17e.jpg,man,wearing,accordion,1.578125
c7133cc36acc887d.jpg,woman,wearing,tiara,2.59375
af1efe94dd9f3cfa.jpg,woman,wearing,straw hat,0.8125
25ce96bd10afe1b0.jpg,people,wearing,red glasses,2.234375
8892e718f9108db9.jpg,man,wearing,hat,5.21875
7cf856f5398d8138.jpg,woman,wearing,skull,0.59375
421a93da4e4152f3.jpg,man,wearing,ball cap,4.875
fb606f3170d6e48e.jpg,woman,wearing,blue jacket,5.25
c10540cd4f062e0c.jpg,woman,wearing,black shirt,3.515625
be67e17ec45f009e.jpg,man,wearing,suit,3.734375
c0b0133682bf5fb2.jpg,man,wearing,montreal canadians jersey,2.78125
7588a6de389ac33a.jpg,caterpillar,wearing,top hat,0.53125
663389d2c9d562d8.jpg,man,wearing,helmet,1.390625
dd8a7bf210628fd7.jpg,woman,wearing,glasses,3.125
558e151c3fbc1ba3.jpg,woman,wearing,one piece uniform,3.765625
122804d032b58390.jpg,man,wearing,helmet,3.203125
b22b89073480191e.jpg,girl,wearing,trousers,2.125
8302f7352b501bc4.jpg,woman,wearing,high heels,3.875
e27e575c922e7525.jpg,doll,wearing,necklace,3.1875
c8a4a228c9df91ef.jpg,man,wearing,goggles,4.40625
c7a6a5f2a8f674ce.jpg,man,wearing,blue and yellow uniform,2.390625
08bc48ffae1a678a.jpg,woman,wearing,hat,3.203125
25ce96bd10afe1b0.jpg,woman,wearing,glasses,0.296875
b5a1a0b0689eebd9.jpg,man,wearing,beard,4.75
9f8550843e6f1ba6.jpg,woman,wearing,necklace,4.265625
8823286afacc9898.jpg,person,wearing,helmet,2.84375
27c41bbdb49d6f5f.jpg,man,wearing,glasses,4.546875
f7acc51fbc7dafda.jpg,bride,wearing,veil,3.75
751093209b03118e.jpg,person in the middle of the image,wearing,suit,2.875
6f804844ccc5126b.jpg,man,wearing,segway,0.609375
f98e23895593ab01.jpg,man,wearing,cowboy hat,5.75
8f939cbb01f114d1.jpg,man,wearing,black shirt,3.859375
da18b0ddaea31637.jpg,woman,wearing,gold earrings,3.421875
7c8a5253847619a5.jpg,man,wearing,ear protection,5.578125
c8a4a228c9df91ef.jpg,man,wearing,sunglasses,3.78125
88fc866f92860d70.jpg,men,wearing,wear,2.515625
dd5cce09d5f254cc.jpg,woman,wearing,knee high black stiletto boots,2.96875
3c3b318ee1e2831c.jpg,man,wearing,red shirt,3.890625
b4cb9fc067c1eb00.jpg,man,wearing,helmet,3.828125
81684fbe58540aa5.jpg,man,wearing,penguin shirt,5.703125
2fd31c13d1a5fdb3.jpg,man,wearing,jeans,5.828125
04ccb05e32dc45de.jpg,person,wearing,jeans,5.734375
54b7a0bc0d489fe8.jpg,woman,wearing,red dress,3.546875
738e234e59615c71.jpg,man,wearing,white robe,3.046875
51e6ff8c0af98410.jpg,woman,wearing,tiara,3.15625
ab46f7ec075d89ae.jpg,boy,wearing,hat,4.078125
1de38c170bce1b3c.jpg,woman,wearing,wedding dress,4.984375
6bff678ea2346ac5.jpg,man,wearing,crown,1.75
d53f782a6f8bcabb.jpg,female doll,wearing,black and white striped swimsuit,2.234375
a62462153630add0.jpg,woman,wearing,blue shirt,3.109375
4e555f6453a7db12.jpg,woman,wearing,shorts,3.96875
ef83b0da979ae261.jpg,man,wearing,sunglasses,3.359375
a284f227c612b0c8.jpg,person,wearing,helmet,4.625
34ff10aa56e103ba.jpg,man,wearing,red outfit,3.84375
a62462153630add0.jpg,woman,wearing,black shorts,1.5
78916540e81a1c6c.jpg,man,wearing,hat,4.75
7c1d922420d9ae86.jpg,person,wearing,helmet,2.296875
aa959cf33e2dab8e.jpg,man,wearing,glasses,3.515625
5502a35f0f5ef825.jpg,man,wearing,shirt,3.921875
a2d7916e24db9dd3.jpg,man,wearing,glasses,4.9375
4287fb387a363c94.jpg,woman,wearing,silver high heels,3.203125
318c91bd306e52e1.jpg,man,wearing,baseball glove,3.015625
a068ea435a318d8d.jpg,man,wearing,helmet,4.75
756875881f971332.jpg,woman,wearing,bra,2.15625
